Year,Cereals,Potatoes,Milk,Meat,Fish,Wheat,Rye,Barley,Oats,Rice,Beef and veal,Pork,Poultry meat,Eggs,Farm milk,Whole milk,Low-fat milk,Skimmed milk,Sour milk,Yoghurt,Cheese,Butter
1950,122.0,142.3,359.7,29.0,..,60.5,45.3,10.2,5.3,0.7,12.4,12.6,..,5.2,..,..,..,..,..,..,2.5,14.4
1951,121.8,137.8,384.5,29.9,..,61.2,43.8,9.8,5.0,2.0,13.6,12.7,..,6.9,..,..,..,..,..,..,2.5,14.7
1952,120.4,136.2,342.2,28.7,..,61.9,42.3,9.3,4.7,2.2,13.4,11.7,..,6.9,..,..,..,..,..,..,2.8,15.1
1953,119.7,133.5,388.2,29.3,..,62.7,41.0,8.8,4.6,2.6,13.1,12.9,..,7.7,..,..,..,..,..,..,2.7,15.5
1954,119.9,122.0,382.5,30.7,..,63.3,39.5,8.5,4.6,4.0,13.9,14.2,..,7.6,..,..,..,..,..,..,2.6,15.5
1955,119.5,124.8,354.3,33.8,..,64.9,38.7,8.2,4.6,3.1,15.8,15.0,..,7.5,..,..,..,..,..,..,3.6,15.0
1956,117.4,130.7,390.1,33.3,..,64.8,36.8,7.6,4.5,3.7,16.0,14.5,..,7.4,..,..,..,..,..,..,2.9,13.6
1957,115.4,124.6,352.9,31.7,..,65.6,35.5,7.1,4.4,2.8,14.2,15.3,..,6.8,..,..,..,..,..,..,4.7,12.6
1958,113.9,113.9,339.6,31.9,..,65.0,33.7,8.4,4.0,2.8,15.1,14.4,..,6.3,..,..,..,..,..,..,2.5,14.4
1959,112.8,93.3,326.3,32.3,..,65.1,33.6,7.1,3.7,3.3,16.7,13.1,..,5.7,..,..,..,..,..,..,2.1,15.0
1960,110.3,104.1,269.3,32.1,..,64.9,31.5,7.4,3.6,2.8,16.4,13.5,..,8.0,207.7,55.8,..,5.8,17.7,..,3.3,16.1
1961,110.4,102.3,277.1,34.8,..,63.7,32.8,7.1,3.8,3.0,17.6,14.5,..,7.8,215.6,55.3,..,6.2,17.8,..,3.2,18.5
1962,100.1,101.8,279.0,36.1,..,57.9,31.0,4.9,3.4,2.9,18.8,14.8,..,8.2,209.8,62.8,..,6.4,18.9,..,3.5,19.0
1963,99.2,102.0,277.4,37.6,..,58.8,26.5,6.8,3.6,3.5,20.5,14.7,..,9.2,172.8,98.1,..,6.5,19.2,..,3.4,18.3
1964,89.6,101.6,281.3,38.7,..,52.5,26.3,4.6,3.0,3.2,21.5,14.7,..,8.9,167.3,104.9,..,9.1,20.6,0.0,3.4,17.6
1965,90.2,101.3,269.2,37.7,..,52.7,26.3,4.8,3.0,3.4,20.2,15.1,..,9.4,157.0,106.1,..,6.1,19.5,0.0,3.5,17.9
1966,86.4,98.7,262.6,38.5,..,50.8,24.4,5.1,3.0,3.1,20.0,16.2,..,9.2,148.1,109.8,..,4.7,20.5,0.0,3.5,17.0
1967,83.0,89.3,255.6,38.6,..,48.7,24.2,4.0,2.9,3.3,19.3,17.1,..,8.4,135.8,115.3,..,4.5,23.4,0.1,3.6,16.9
1968,81.6,85.7,233.2,40.0,..,48.5,23.7,3.5,2.8,3.0,20.1,17.7,..,9.2,108.1,120.9,..,4.2,25.3,0.2,3.6,15.9
1969,81.1,84.8,238.3,48.4,..,48.1,23.9,3.4,2.7,2.8,21.6,18.8,..,9.8,111.5,122.2,..,4.6,26.8,2.0,4.6,15.3
1970,81.4,80.8,227.6,50.1,..,48.7,23.2,3.5,2.8,3.0,20.9,20.7,0.8,10.4,86.2,124.9,10.0,6.5,31.9,2.7,4.3,14.5
1971,78.0,79.3,231.6,53.4,..,47.3,23.0,2.7,2.4,2.4,20.9,22.4,1.4,10.3,80.6,122.0,24.5,4.5,33.9,5.2,4.8,14.9
1972,77.1,77.2,239.3,55.3,..,46.9,22.9,2.6,2.3,2.2,21.9,23.1,1.5,10.8,78.8,109.5,47.4,3.6,30.6,6.9,5.5,14.5
1973,75.2,70.1,237.1,56.7,..,45.3,21.7,2.7,2.7,2.5,22.5,24.4,1.8,10.6,67.3,91.9,74.5,3.4,33.3,7.8,5.2,13.7
1974,77.0,69.7,236.0,57.8,..,46.3,22.2,2.9,2.5,2.8,22.8,24.6,1.9,10.9,60.4,71.2,101.3,3.1,29.4,6.6,5.5,12.9
1975,77.0,70.8,245.9,61.8,..,46.5,21.9,2.8,2.4,3.4,24.3,26.7,2.4,11.0,58.9,59.8,123.9,3.3,28.8,6.2,6.1,13.3
1976,73.7,66.7,243.7,60.5,..,44.9,21.6,2.4,2.6,2.2,23.8,25.9,2.5,11.0,56.4,67.2,116.6,3.5,26.8,6.5,6.7,12.7
1977,71.2,66.5,234.4,60.7,..,43.0,20.6,2.3,2.6,2.7,22.0,27.3,2.7,10.9,46.6,83.7,99.4,4.7,27.1,6.7,6.2,12.2
1978,75.5,67.3,238.9,62.2,..,46.9,20.8,2.3,2.7,2.8,22.1,27.8,2.5,11.6,50.5,83.7,99.8,4.9,26.5,7.0,6.3,11.9
1979,75.3,68.1,233.3,66.0,..,45.9,21.2,2.3,3.2,2.7,22.9,28.9,2.9,11.6,43.6,83.0,101.7,5.0,25.7,8.0,6.4,12.1
1980,74.7,69.1,225.2,66.6,..,44.7,20.8,2.5,3.1,3.6,23.5,29.5,3.2,11.7,36.2,81.3,102.1,5.7,26.5,8.5,6.6,11.2
1981,76.3,67.8,217.9,66.3,..,46.6,20.9,2.2,2.9,3.7,22.6,29.3,3.5,10.7,31.3,77.4,102.5,6.7,26.0,8.1,7.4,11.8
